label;name;latex_short;latex_long;units;order;valid;age_shift
'cross_covariance_xyz_robust';['X-U Cross-Covariance (robust)','Y-V Cross-Covariance (robust)','Z-W Cross-Covariance (robust)'];['$X-U$ (robust)','$Y-V$ (robust)','$Z-W$ (robust)'];['$X-U$ Cross-Covariance (robust)','$Y-V$ Cross-Covariance (robust)','$Z-W$ Cross-Covariance (robust)'];['pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$'];21;[False,False,False];[0.7,0.24,6.37]
'cross_covariance_xyz_matrix_det_robust';['XYZ Cross-Covariance Matrix Determinant (robust)'];['Det.${{}}_{{XUYVZW}}$ (robust)'];['Determinant${{}}_{{XUYVZW}}$ (robust)'];['pc'];22;[False];[0.29]
'cross_covariance_xyz_matrix_trace_robust';['XYZ Cross-Covariance Matrix Trace (robust)'];['Trace${{}}_{{XUYVZW}}$ (robust)'];['Trace${{}}_{{XUYVZW}}$ (robust)'];['pc'];23;[False];[0.35]
'cross_covariance_xyz_sklearn';['X-U Cross-Covariance (sklearn)','Y-V Cross-Covariance (sklearn)','Z-W Cross-Covariance (sklearn)'];['$X-U$ (sklearn)','$Y-V$ (sklearn)','$Z-W$ (sklearn)'];['$X-U$ Cross-Covariance (sklearn)','$Y-V$ Cross-Covariance (sklearn)','$Z-W$ Cross-Covariance (sklearn)'];['pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$'];24;[False,False,False];[0.,0.,0.]
'cross_covariance_xyz_matrix_det_sklearn';['XYZ Cross-Covariance Matrix Determinant (sklearn)'];['Det.${{}}_{{XUYVZW}}$ (sklearn)'];['Determinant${{}}_{{XUYVZW}}$ (sklearn)'];['pc'];25;[False];[0.0]
'cross_covariance_xyz_matrix_trace_sklearn';['XYZ Cross-Covariance Matrix Trace (sklearn)'];['Trace${{}}_{{XUYVZW}}$ (sklearn)'];['Trace${{}}_{{XUYVZW}}$ (sklearn)'];['pc'];26;[False];[0.0]
'cross_covariance_ξηζ';['ξ-vξ Cross-Covariance','η-vη Cross-Covariance','ζ-vζ Cross-Covariance'];['$ξ^\\prime-\\dot{ξ}^\\prime$','$η^\\prime-\\dot{η}^\\prime$','$ζ^\\prime-\\dot{ζ}^\\prime$'];['$ξ^\\prime-\\dot{ξ}^\\prime$ Cross-Covariance','$η^\\prime-\\dot{η}^\\prime$ Cross-Covariance','$ζ^\\prime-\\dot{ζ}^\\prime$ Cross-Covariance'];['pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$'];27;[False,False,False];[0.63,0.58,10.31]
'cross_covariance_ξηζ_matrix_det';['ξηζ Cross-Covariance Matrix Determinant'];['Det.${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$'];['Determinant${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$'];['pc'];28;[False];[0.3]
'cross_covariance_ξηζ_matrix_trace';['ξηζ Cross-Covariance Matrix Trace'];['Trace${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$'];['Trace${{}}_{{ξ^\\prime \\dot{ξ}^\\prime η^\\prime \\dot{η}^\\prime ζ^\\prime \\dot{ζ}^\\prime}}$'];['pc'];29;[False];[0.01]
'cross_covariance_ξηζ_robust';['ξ-vξ Cross-Covariance (robust)','η-vη Cross-Covariance (robust)','ζ-vζ Cross-Covariance (robust)'];['$ξ^\\prime-\\dot{ξ}^\\prime$ (robust)','$η^\\prime-\\dot{η}^\\prime$ (robust)','$ζ^\\prime-\\dot{ζ}^\\prime$ (robust)'];['$ξ^\\prime-\\dot{ξ}^\\prime$ Cross-Covariance (robust)','$η^\\prime-\\dot{η}^\\prime$ Cross-Covariance (robust)','$ζ^\\prime-\\dot{ζ}^\\prime$ Cross-Covariance (robust)'];['pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$', 'pc/Myr$^{1/2}$'];30;[False,False,False];[0.52,0.51,6.16]
