name;position;velocity;axis;origin
spherical;('π', 'δ', 'α');('rv', 'μδ', 'μαcosδ');equatorial;sun
cartesian;('x', 'y', 'z');('u', 'v', 'w');equatorial;sun
cylindrical;('r', 'θ', 'h');('vr', 'vt', 'vh');galactic;galaxy
curvilinear;('ξ', 'η', 'ζ');('vξ', 'vη', 'vζ');galactic_sun;sun
