spt,sptn,mass_ms,mass_ms_error,mass_prems, mass_prems_error  ,radius_ms,radius_ms_error,radius_prems,radius_prems_error,t_eff,conv_blueshift,conv_blueshift_error,grav_redshift_ms,grav_redshift_ms_error,grav_redshift_prems,grav_redshift_prems_error,total_shift_ms,total_shift_ms_error,total_shift_prems,total_shift_prems_error
,,m_sol,m_sol,m_sol,m_sol,r_sol,r_sol,r_sol,r_sol,K,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s,km/s
L9.0,79.0,0.045056781,0.012625977,0.0071497092,0.0027551222,0.092893145,0.023268338,0.13792132,0.034499192,0.0000000,0.0000000,0.20600000,0.353723,0.129689,0.0367963,0.0179309,0.35372281,0.24342421,0.036796346,0.20677891
T0.0,80.0,0.042894298,0.012272768,0.0067703875,0.0026809409,0.093499121,0.023424848,0.13762678,0.034431109,0.0000000,0.0000000,0.20600000,0.332552,0.123982,0.0350432,0.0173956,0.33255228,0.24043199,0.035043158,0.20673318
T1.0,81.0,0.040835602,0.011846484,0.0064193962,0.0025919632,0.094144854,0.023577838,0.13735278,0.034369133,0.0000000,0.0000000,0.20600000,0.314498,0.117585,0.0334117,0.0170563,0.31449828,0.23719647,0.033411738,0.20670490
T2.0,82.0,0.038519473,0.011271484,0.0060866010,0.0025298790,0.094830890,0.023757190,0.13709887,0.034308523,0.0000000,0.0000000,0.20600000,0.296656,0.110854,0.0318166,0.0166616,0.29665551,0.23393275,0.031816609,0.20667271
T3.0,83.0,0.036092950,0.010640421,0.0057007743,0.0024927030,0.095478662,0.023951883,0.13687681,0.034246475,0.0000000,0.0000000,0.20600000,0.278710,0.103729,0.0302528,0.0161709,0.27871013,0.23064187,0.030252773,0.20663373
T4.0,84.0,0.033819286,0.0095343276,0.0053153595,0.0023798737,0.096087756,0.024126352,0.13667443,0.034182469,0.0000000,0.0000000,0.20600000,0.261900,0.0972871,0.0288739,0.0157007,0.26189953,0.22781744,0.028873919,0.20659746
T4.5,84.5,0.032736742,0.0090257243,0.0051325364,0.0023253032,0.096637082,0.024215367,0.13647890,0.034150692,0.0000000,0.0000000,0.20600000,0.246716,0.0919848,0.0274642,0.0152008,0.24671555,0.22560410,0.027464239,0.20656007
T5.0,85.0,0.031688850,0.0087784992,0.0049311301,0.0022784173,0.097168397,0.024317640,0.13629111,0.034114998,0.0000000,0.0000000,0.20600000,0.233851,0.0878756,0.0262061,0.0146509,0.23385148,0.22396011,0.026206117,0.20652034
T5.5,85.5,0.030674501,0.0088683621,0.0046675981,0.0022063348,0.098074770,0.024435727,0.13606766,0.034062494,0.0000000,0.0000000,0.20600000,0.222350,0.0853302,0.0246833,0.0136863,0.22234964,0.22297365,0.024683302,0.20645415
T6.0,86.0,0.029017431,0.0088504510,0.0044181498,0.0020677561,0.099173566,0.024639142,0.13581701,0.034006924,0.0000000,0.0000000,0.20600000,0.206173,0.0798858,0.0231534,0.0127168,0.20617317,0.22094739,0.023153367,0.20639215
T7.0,87.0,0.023511944,0.0066691746,0.0039475678,0.0016482878,0.099689657,0.025265093,0.13554356,0.033893894,0.0000000,0.0000000,0.20600000,0.192178,0.0751267,0.0217713,0.0117972,0.19217840,0.21927155,0.021771288,0.20633752
T7.5,87.5,0.021164272,0.0067387371,0.0036823603,0.0015507205,0.10041741,0.025659278,0.13526015,0.033827560,0.0000000,0.0000000,0.20600000,0.176958,0.0702566,0.0203707,0.0107393,0.17695759,0.21765107,0.020370679,0.20627975
T8.0,88.0,0.018816600,0.0068082996,0.0034349701,0.0012691535,0.10152956,NaN,0.13509657,0.033750087,0.0000000,0.0000000,0.20600000,0.167514,0.0672080,0.0191687,0.00977672,0.16751361,0.21668621,0.019168703,0.20623187
T8.5,88.5,0.016468928,0.0068778621,0.0032042002,0.0013322627,0.10220760,NaN,0.13496649,0.033691367,0.0000000,0.0000000,0.20600000,0.156142,0.0621270,0.0184634,0.00940146,0.15614247,0.21516450,0.018463392,0.20621442
T9.0,89.0,0.014121255,0.0069474246,0.0029734303,0.0013953720,NaN,NaN,0.13483658,NaN,0.0000000,0.0000000,0.20600000,0.153587,0.0619837,0.0181832,0.00921380,0.15358736,0.21512318,0.018183151,0.20620595
T9.5,89.5,0.011773583,0.0070169870,0.0027426604,0.0014584812,NaN,NaN,0.13470684,NaN,0.0000000,0.0000000,0.20600000,0.145922,0.0615540,0.0177161,0.00890104,0.14592196,0.21499977,0.017716084,0.20619221
Y0.0,90.0,0.0094259111,0.0070865495,0.0025118905,0.0015215905,NaN,NaN,NaN,NaN,0.0000000,0.0000000,0.20600000,NaN,NaN,0.0175814,0.00890104,NaN,NaN,0.017581396,0.20619221
Y0.5,90.5,0.0070782390,0.0071561120,0.0022811207,0.0015846997,NaN,NaN,NaN,NaN,0.0000000,0.0000000,0.20600000,NaN,NaN,0.0171773,0.00890104,NaN,NaN,0.017177330,0.20619221
Y1.0,91.0,0.0047305668,0.0072256745,0.0020503508,0.0016478090,NaN,NaN,NaN,NaN,0.0000000,0.0000000,0.20600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Y1.5,91.5,0.0023828946,0.0072952370,0.0018195809,0.0017109182,NaN,NaN,NaN,NaN,0.0000000,0.0000000,0.20600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Y2.0,92.0,3.522246E-05,0.0073647994,0.0015888110,0.0017740274,NaN,NaN,NaN,NaN,0.0000000,0.0000000,0.20600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
